Name,Links,Cost,Collections,Cuisines,Timings,Avg_Rating,Review_Count,Avg_Sentiment,Weighted_Sentiment,Cluster
Asian Meal Box,https://www.zomato.com/hyderabad/asian-meal-box-gachibowli,200,Not Specified,Asian,"12noon to 12midnight (Mon, Tue, Wed, Thu, Sun), 12noon to 1am (Fri-Sat)",2.58,100.0,0.07631700000000001,0.14674759095348375,1
Cafe Eclat,https://www.zomato.com/hyderabad/cafe-eclat-gachibowli,700,Sneak Peek Hyderabad,"Cafe, Bakery",8 AM to 11:30 PM,3.59,100.0,0.57916,0.6099156548640241,0
Feast - Sheraton Hyderabad Hotel,https://www.zomato.com/hyderabad/feast-sheraton-hyderabad-hotel-gachibowli,2500,"Sunday Brunches, Great Breakfasts, Function Venues, Ramzan Mubarak","Modern Indian, Asian, Continental, Italian","6:30am to 10:30am, 12:30pm to 3pm, 7pm to 11pm (Mon),6:30am to 10:30am, 12:30pm to 3pm, 7:30pm to 11pm (Tue-Sat),6:30am to 10:30am, 12:30pm to 3:30pm, 7pm to 11pm (Sun)",4.22,100.0,0.764854,0.7816777988461323,3
Being Hungry,https://www.zomato.com/hyderabad/being-hungry-gachibowli,450,Not Specified,"North Indian, Chinese","12 Noon to 3 PM, 7 PM to 11:30 PM",3.66,100.0,0.324267,0.42423402896652035,2
Tempteys,https://www.zomato.com/hyderabad/tempteys-gachibowli,350,Best Milkshakes,"Desserts, Beverages",11:30 AM to 1 AM,3.85,100.0,0.453674,0.6483463272082682,0
KS Bakers,https://www.zomato.com/hyderabad/ks-bakers-gachibowli,200,Not Specified,"Bakery, Desserts, Fast Food",9 AM to 10 PM,3.965,100.0,0.643279,0.6504268748174166,0
PourHouse7,https://www.zomato.com/hyderabad/pourhouse7-gachibowli,1200,"Happy Hours, Top Drinking Destinations, Corporate Favorites","North Indian, Continental, Chinese, Italian","12 Noon to 12 Midnight (Mon-Thu, Sun), 12 Noon to 1 AM (Fri-Sat)",3.86,100.0,0.593437,0.6635613318761385,5
Prism Club & Kitchen,https://www.zomato.com/hyderabad/prism-club-kitchen-gachibowli,1200,"Sneak Peek Hyderabad, Best Bars & Pubs, Gigs and Events","Kebab, Continental, Italian, North Indian",5pm to 12midnight (Mon-Sun),4.215,100.0,0.777871,0.8049585444288715,3
Shree Santosh Dhaba Family Restaurant,https://www.zomato.com/hyderabad/shree-santosh-dhaba-family-restaurant-gachibowli,500,Not Specified,"North Indian, Chinese, Fast Food",11 AM to 11:30 PM,2.83,100.0,0.008306000000000003,0.10695090671552256,1
Dine O China,https://www.zomato.com/hyderabad/dine-o-china-gachibowli,850,Not Specified,"Chinese, Asian, Momos",11:30AM to 11PM (Mon-Sun),3.37,100.0,0.359395,0.4221261985370195,2
Hyderabad Chefs,https://www.zomato.com/hyderabad/hyderabad-chefs-gachibowli,600,Not Specified,"North Indian, Chinese",12 Noon to 10:30 PM,3.81,100.0,0.248611,0.2218071730935836,2
Komatose - Holiday Inn Express & Suites,https://www.zomato.com/hyderabad/komatose-holiday-inn-express-suites-gachibowli,1500,"Happy Hours, Top-Rated, Gold Curated","North Indian, Chinese, Japanese, Sushi",1 PM to 11 PM,3.69,100.0,0.643888,0.6925966565301567,3
Aromas@11SIX,https://www.zomato.com/hyderabad/aromas11six-gachibowli,750,Not Specified,"North Indian, Chinese, Mughlai, Biryani",11:30 AM to 12 Midnight,3.46,100.0,0.296268,0.46561872180825087,2
Yum Yum Tree - The Arabian Food Court,https://www.zomato.com/hyderabad/yum-yum-tree-the-arabian-food-court-gachibowli,1200,Food Hygiene Rated Restaurants in Hyderabad,"North Indian, Hyderabadi",12 Noon to 12 Midnight,3.56,100.0,0.511208,0.6593065516501427,5
The Tilt Bar Republic,https://www.zomato.com/thetiltbarrepublic,1500,"Gigs and Events, Corporate Favorites","North Indian, Continental, Italian",12noon to 12midnight (Mon-Sun),3.845,100.0,0.638679,0.7098556301565883,3
The Indi Grill,https://www.zomato.com/hyderabad/the-indi-grill-gachibowli,1500,"Food Hygiene Rated Restaurants in Hyderabad, Great Buffets, Hyderabad's Hottest","BBQ, Asian, Modern Indian",12noon to 11pm (Mon-Sun),4.6,100.0,0.8675889999999999,0.8522021525236546,3
Urban Asia - Kitchen & Bar,https://www.zomato.com/hyderabad/urban-asia-kitchen-bar-gachibowli,1100,Not Specified,"Asian, Thai, Chinese, Sushi, Momos","12 Noon to 3 PM, 7 PM to 11 PM",3.65,100.0,0.620387,0.6823447207519611,5
Eat India Company,https://www.zomato.com/hyderabad/eat-india-company-gachibowli,1300,Not Specified,"North Indian, Mughlai, Beverages","12 Noon to 3 PM, 7 PM to 11 PM",3.26,100.0,0.406937,0.5350499667599972,5
Labonel,https://www.zomato.com/hyderabad/labonel-gachibowli,1000,Best Bakeries,"Bakery, Desserts","11 AM to 8 PM (Mon-Sat), Sun Closed",3.915,100.0,0.6678000000000001,0.7442750927682826,0
Driven Cafe,https://www.zomato.com/hyderabad/driven-cafe-gachibowli,600,Not Specified,"Cafe, Fast Food, Beverages",4 AM to 12 Midnight,3.745,100.0,0.767162,0.8123811489657558,0
Faasos,https://www.zomato.com/hyderabad/faasos-gachibowli,600,Not Specified,"Fast Food, Biryani, Desserts",9 AM to 1 AM,3.03,100.0,0.330861,0.6091250692301011,2
Royal Spicy Restaurant,https://www.zomato.com/hyderabad/royal-spicy-restaurant-gachibowli,700,Not Specified,"North Indian, South Indian",10:30 AM to 11 PM,3.74,100.0,0.27993100000000004,0.3567014974283931,2
The Old Madras Baking Company,https://www.zomato.com/hyderabad/the-old-madras-baking-company-gachibowli,350,Not Specified,Bakery,7 AM to 11 PM,3.6161616161616164,99.0,0.6218910000000001,0.6823042084274547,0
Squeeze @ The Lime,https://www.zomato.com/hyderabad/squeeze-the-lime-gachibowli,650,Veggie Friendly,"Italian, North Indian, Chinese, Salad","7 AM to 10:30 AM, 12:30 PM to 3:30 PM, 7 PM to 11 PM",3.815,100.0,0.5736760000000001,0.6083005045611176,0
Khaan Saab,https://www.zomato.com/hyderabad/khaan-saab-gachibowli,1100,New on Gold,"North Indian, Mughlai","12 Noon to 3:30 PM, 7 PM to 11:30 PM",3.8,100.0,0.546629,0.5706330968616974,5
Olive Garden,https://www.zomato.com/hyderabad/olive-garden-gachibowli,700,Not Specified,"North Indian, Chinese, Continental, Biryani","12 Noon to 3:30 PM, 7 PM to 11 PM",3.76,100.0,0.546208,0.5962386563721438,0
Tandoori Food Works,https://www.zomato.com/hyderabad/tandoori-food-works-gachibowli,500,Brilliant Biryanis,"North Indian, Burger, Kebab","12noon to 12midnight (Mon, Tue, Wed, Thu, Sun), 12noon to 1am (Fri-Sat)",3.27,100.0,0.320563,0.5050539564908205,2
Delhi-39,https://www.zomato.com/hyderabad/delhi-39-gachibowli,600,Not Specified,"North Indian, Chinese",11am to 11pm (Mon-Sun),2.975,100.0,0.055038000000000004,0.049779239608600534,1
Al Saba Restaurant,https://www.zomato.com/hyderabad/al-saba-restaurant-gachibowli,750,Not Specified,"North Indian, Chinese, Seafood, Biryani, Hyderabadi",6 AM to 11:30 PM,3.155,100.0,0.256506,0.43566893195853845,2
GD's,https://www.zomato.com/hyderabad/gds-gachibowli,500,Not Specified,"Burger, American",11:30 AM to 5 AM,3.96,100.0,0.486646,0.5849850242627302,0
T Grill,https://www.zomato.com/hyderabad/t-grill-gachibowli,700,Not Specified,"North Indian, Andhra, Biryani, Chinese","12:30 PM to 3:30 PM, 7 PM to 11 PM",3.17,100.0,0.459951,0.5905710576098706,2
Momos Delight,https://www.zomato.com/hyderabad/momos-delight-gachibowli,200,Not Specified,Momos,6pm to 2am (Mon-Sun),3.725,100.0,0.362614,0.4456434074898087,2
The Chocolate Room,https://www.zomato.com/hyderabad/the-chocolate-room-gachibowli,600,Not Specified,"Cafe, Desserts",10 AM to 12 Midnight,2.83,100.0,0.209442,0.3626025270759922,2
American Wild Wings,https://www.zomato.com/hyderabad/american-wild-wings-gachibowli,600,Food Hygiene Rated Restaurants in Hyderabad,"American, Fast Food, Salad, Burger",12 Noon to 4 AM,3.9740259740259742,77.0,0.5058400000000001,0.7056780040077767,0
Domino's Pizza,https://www.zomato.com/hyderabad/dominos-pizza-4-gachibowli,400,Not Specified,"Fast Food, Pizza",11 AM to 11 PM,3.09,100.0,0.066053,0.06480408375144375,1
Mohammedia Shawarma,https://www.zomato.com/hyderabad/mohammedia-shawarma-gachibowli,150,Not Specified,"Street Food, Arabian",1 PM to 1 AM,2.99,100.0,0.018474000000000004,0.0018637028308429017,1
Arena Eleven,https://www.zomato.com/hyderabad/arena-eleven-gachibowli,1600,New on Gold,Continental,12 Noon to 12 Midnight,4.117647058823529,85.0,0.623515,0.7432996642430729,3
Cascade - Radisson Hyderabad Hitec City,https://www.zomato.com/hyderabad/cascade-radisson-hyderabad-hitec-city-gachibowli,1800,Not Specified,"North Indian, Italian, Continental, Asian",24 Hours,4.26,100.0,0.7742640000000001,0.7294714220956832,3
Collage - Hyatt Hyderabad Gachibowli,https://www.zomato.com/hyderabad/collage-hyatt-hyderabad-gachibowli-gachibowli,2800,Sunday Brunches,"Continental, Italian, North Indian, Chinese, Asian",24 Hours (Mon-Sun),3.41,100.0,0.509261,0.6065388376649001,3
Zing's Northeast Kitchen,https://www.zomato.com/hyderabad/zings-northeast-kitchen-gachibowli,550,Not Specified,"North Eastern, Momos","11:30 AM to 4 PM, 7 PM to 11 PM",3.65,100.0,0.563517,0.6241188063349169,0
Dunkin' Donuts,https://www.zomato.com/hyderabad/dunkin-donuts-gachibowli,550,Not Specified,"Desserts, Cafe, Beverages, Burger, Fast Food",10 AM to 11 PM,3.095,100.0,0.337925,0.4745417188400916,2
Desi Bytes,https://www.zomato.com/hyderabad/desi-bytes-gachibowli,400,Not Specified,"North Indian, Chinese","1 PM to 2 AM (Mon, Wed-Sun), Tue Closed",2.9,100.0,0.19352799999999998,0.3336040589758497,2
Hyderabadi Daawat,https://www.zomato.com/hyderabad/hyderabadi-daawat-1-gachibowli,600,Food Hygiene Rated Restaurants in Hyderabad,"Hyderabadi, Chinese, Mughlai",12:30pm to 11:30pm (Mon-Sun),3.83,100.0,0.5699649999999999,0.6803492236537984,0
Zega - Sheraton Hyderabad Hotel,https://www.zomato.com/hyderabad/zega-sheraton-hyderabad-hotel-gachibowli,1750,Not Specified,"Asian, Sushi",12Noon to 2AM (Mon-Sun),4.45,100.0,0.8524290000000001,0.8080244126747167,3
Triptify,https://www.zomato.com/hyderabad/triptify-gachibowli,400,Not Specified,North Indian,11 AM to 11 PM,3.55,100.0,0.343939,0.4833654022454966,2
Chinese Pavilion,https://www.zomato.com/hyderabad/chinese-pavilion-gachibowli,1000,Not Specified,"Chinese, Seafood","12 Noon to 3:30 PM, 7 PM to 11 PM",3.745,100.0,0.7581659999999999,0.7718560512738128,0
IndiBlaze,https://www.zomato.com/hyderabad/indiblaze-gachibowli,600,Not Specified,"Fast Food, Salad",11 AM to 11 PM,,,,,4
Sweet Basket,https://www.zomato.com/hyderabad/sweet-basket-gachibowli,200,Not Specified,"Bakery, Mithai","10 AM to 10 PM (Mon-Thu), 8 AM to 10:30 PM (Fri-Sun)",,,,,4
Angaara Counts 3,https://www.zomato.com/hyderabad/angaara-counts-3-gachibowli,500,Not Specified,"North Indian, Biryani, Chinese",12 Noon to 11 PM,,,,,4
Wich Please,https://www.zomato.com/hyderabad/wich-please-1-gachibowli,250,Not Specified,Fast Food,8am to 12:30AM (Mon-Sun),,,,,4
Republic Of Noodles - Lemon Tree Hotel,https://www.zomato.com/hyderabad/republic-of-noodles-lemon-tree-hotel-gachibowli,1700,Pan-Asian Delicacies,"Thai, Asian, Chinese, Malaysian","11:30 AM to 3 PM, 7 PM to 12 Midnight",,,,,4
